produit_id,produit_name,category,prix
278,Produit_278,Fashion,2226
279,Produit_279,Smartphone,952
280,Produit_280,Gaming,1364
281,Produit_281,Gaming,2629
282,Produit_282,Home,1205
283,Produit_283,Smartphone,569
284,Produit_284,Smartphone,1979
285,Produit_285,Electronics,1160
286,Produit_286,Gaming,2386
287,Produit_287,Home,770
288,Produit_288,Fashion,1382
289,Produit_289,Gaming,1223
290,Produit_290,Fashion,1825
291,Produit_291,Electronics,1551
292,Produit_292,Accessories,497
293,Produit_293,Electronics,1899
294,Produit_294,Accessories,1892
295,Produit_295,Accessories,2930
296,Produit_296,Electronics,2720
297,Produit_297,Accessories,1783
298,Produit_298,Accessories,2948
299,Produit_299,Gaming,1271
300,Produit_300,Accessories,1667
301,Produit_301,Gaming,343
302,Produit_302,Fashion,1825
303,Produit_303,Smartphone,2463
304,Produit_304,Smartphone,2307
305,Produit_305,Fashion,840
306,Produit_306,Accessories,68
307,Produit_307,Gaming,1516
308,Produit_308,Home,1852
309,Produit_309,Fashion,2464
310,Produit_310,Electronics,773
311,Produit_311,Home,387
312,Produit_312,Home,1082
313,Produit_313,Smartphone,1484
314,Produit_314,Gaming,1902
315,Produit_315,Fashion,1959
316,Produit_316,Fashion,569
317,Produit_317,Home,1481
318,Produit_318,Smartphone,1527
319,Produit_319,Accessories,1745
320,Produit_320,Fashion,1093
321,Produit_321,Home,2612
322,Produit_322,Home,457
323,Produit_323,Fashion,2078
324,Produit_324,Fashion,2590
325,Produit_325,Home,1776
326,Produit_326,Fashion,1285
327,Produit_327,Accessories,2218
328,Produit_328,Smartphone,82
329,Produit_329,Fashion,2615
330,Produit_330,Fashion,1091
331,Produit_331,Smartphone,405
332,Produit_332,Electronics,25
333,Produit_333,Home,1741
334,Produit_334,Gaming,2608
335,Produit_335,Gaming,1129
336,Produit_336,Gaming,2515
337,Produit_337,Gaming,538
338,Produit_338,Gaming,2008
339,Produit_339,Fashion,1528
340,Produit_340,Gaming,1315
341,Produit_341,Accessories,1019
342,Produit_342,Home,1786
343,Produit_343,Smartphone,1080
344,Produit_344,Smartphone,1923
345,Produit_345,Gaming,338
346,Produit_346,Fashion,2798
347,Produit_347,Electronics,2648
348,Produit_348,Gaming,2358
349,Produit_349,Accessories,1945
350,Produit_350,Fashion,1581
351,Produit_351,Accessories,2203
352,Produit_352,Gaming,1747
353,Produit_353,Fashion,2547
354,Produit_354,Home,60
355,Produit_355,Home,1591
356,Produit_356,Home,106
357,Produit_357,Accessories,267
358,Produit_358,Fashion,2841
359,Produit_359,Smartphone,29
360,Produit_360,Home,1927
361,Produit_361,Gaming,2171
362,Produit_362,Accessories,2115
363,Produit_363,Accessories,50
364,Produit_364,Home,497
365,Produit_365,Smartphone,874
366,Produit_366,Home,225
367,Produit_367,Home,2257
368,Produit_368,Home,2199
369,Produit_369,Gaming,165
370,Produit_370,Electronics,2040
371,Produit_371,Fashion,2684
372,Produit_372,Smartphone,454
373,Produit_373,Gaming,1792
374,Produit_374,Home,766
375,Produit_375,Home,2160
376,Produit_376,Electronics,1088
377,Produit_377,Electronics,342
378,Produit_378,Gaming,1303
379,Produit_379,Fashion,1986
380,Produit_380,Accessories,444
381,Produit_381,Accessories,2141
382,Produit_382,Accessories,1322
383,Produit_383,Fashion,2392
384,Produit_384,Accessories,247
385,Produit_385,Accessories,2354
386,Produit_386,Fashion,915
387,Produit_387,Accessories,2711
388,Produit_388,Gaming,1008
389,Produit_389,Accessories,2679
390,Produit_390,Home,620
391,Produit_391,Fashion,459
392,Produit_392,Accessories,988
393,Produit_393,Electronics,272
394,Produit_394,Electronics,1826
395,Produit_395,Fashion,214
396,Produit_396,Gaming,1731
397,Produit_397,Gaming,1349
398,Produit_398,Gaming,1476
399,Produit_399,Gaming,1433
400,Produit_400,Smartphone,2544
401,Produit_401,Smartphone,387
402,Produit_402,Electronics,1817
403,Produit_403,Accessories,206
404,Produit_404,Smartphone,854
405,Produit_405,Electronics,2756
406,Produit_406,Home,483
407,Produit_407,Gaming,2739
408,Produit_408,Accessories,2334
409,Produit_409,Fashion,2993
410,Produit_410,Fashion,2559
411,Produit_411,Home,2419
412,Produit_412,Electronics,2185
413,Produit_413,Gaming,52
414,Produit_414,Gaming,2087
415,Produit_415,Smartphone,1829
416,Produit_416,Home,117
417,Produit_417,Accessories,2745
418,Produit_418,Fashion,2384
419,Produit_419,Accessories,2030
420,Produit_420,Smartphone,1548
421,Produit_421,Home,2482
422,Produit_422,Electronics,1067
423,Produit_423,Gaming,2869
424,Produit_424,Smartphone,1386
425,Produit_425,Home,229
426,Produit_426,Fashion,1121
427,Produit_427,Gaming,128
428,Produit_428,Electronics,2292
429,Produit_429,Smartphone,1835
430,Produit_430,Home,790
431,Produit_431,Gaming,133
432,Produit_432,Fashion,1555
433,Produit_433,Gaming,1427
434,Produit_434,Gaming,667
435,Produit_435,Gaming,939
436,Produit_436,Smartphone,632
437,Produit_437,Home,655
438,Produit_438,Accessories,102
439,Produit_439,Fashion,2347
440,Produit_440,Smartphone,1573
441,Produit_441,Electronics,2752
442,Produit_442,Home,2918
443,Produit_443,Accessories,736
444,Produit_444,Smartphone,2250
445,Produit_445,Smartphone,1510
446,Produit_446,Home,414
447,Produit_447,Gaming,1637
448,Produit_448,Fashion,381
449,Produit_449,Accessories,2755
450,Produit_450,Accessories,1884
451,Produit_451,Gaming,1018
452,Produit_452,Gaming,1474
453,Produit_453,Smartphone,2127
454,Produit_454,Home,2416
455,Produit_455,Fashion,2214
456,Produit_456,Gaming,126
457,Produit_457,Accessories,2019
458,Produit_458,Smartphone,2668
459,Produit_459,Accessories,1639
460,Produit_460,Fashion,2667
461,Produit_461,Gaming,1676
462,Produit_462,Home,1293
463,Produit_463,Smartphone,1517
464,Produit_464,Fashion,2450
465,Produit_465,Home,2867
466,Produit_466,Fashion,869
467,Produit_467,Electronics,2543
468,Produit_468,Gaming,33
469,Produit_469,Electronics,1830
470,Produit_470,Accessories,323
471,Produit_471,Smartphone,1562
472,Produit_472,Gaming,15
473,Produit_473,Gaming,2244
474,Produit_474,Accessories,1705
475,Produit_475,Home,1294
476,Produit_476,Home,1111
477,Produit_477,Home,2744
478,Produit_478,Fashion,1045
479,Produit_479,Gaming,2137
480,Produit_480,Smartphone,2926
481,Produit_481,Fashion,2437
482,Produit_482,Home,2485
483,Produit_483,Fashion,2918
484,Produit_484,Gaming,708
485,Produit_485,Gaming,2150
486,Produit_486,Home,956
487,Produit_487,Gaming,530
488,Produit_488,Fashion,1442
489,Produit_489,Electronics,2209
490,Produit_490,Home,2976
491,Produit_491,Electronics,1639
492,Produit_492,Smartphone,518
493,Produit_493,Accessories,527
494,Produit_494,Smartphone,1637
495,Produit_495,Smartphone,248
496,Produit_496,Smartphone,2761
497,Produit_497,Accessories,1371
498,Produit_498,Home,138
499,Produit_499,Home,1384
500,Produit_500,Gaming,1511
