payment_id,order_id,amount,payment_method
850,850,1591,PayPal
851,851,7434,Bank Transfer
852,852,8579,Credit Card
853,853,8460,Credit Card
854,854,6370,Credit Card
855,855,8538,Mobile Money
856,856,7935,Bank Transfer
857,857,8790,Mobile Money
858,858,7862,PayPal
859,859,1501,Credit Card
860,860,4157,Mobile Money
861,861,7173,Credit Card
862,862,2670,Mobile Money
863,863,3166,Mobile Money
864,864,3750,Credit Card
865,865,8402,Mobile Money
866,866,7160,Bank Transfer
867,867,7676,Bank Transfer
868,868,5692,Bank Transfer
869,869,6262,Bank Transfer
870,870,2474,Mobile Money
871,871,7246,Mobile Money
872,872,270,Mobile Money
873,873,9231,PayPal
874,874,3842,Bank Transfer
875,875,4226,PayPal
876,876,1314,PayPal
877,877,6996,PayPal
878,878,644,Credit Card
879,879,6654,Mobile Money
880,880,9705,Bank Transfer
881,881,2513,Mobile Money
882,882,5462,Bank Transfer
883,883,4921,Bank Transfer
884,884,956,Mobile Money
885,885,6245,Bank Transfer
886,886,3432,Bank Transfer
887,887,2099,Credit Card
888,888,827,Bank Transfer
889,889,2928,Bank Transfer
890,890,8891,PayPal
891,891,831,Bank Transfer
892,892,6037,Credit Card
893,893,7349,PayPal
894,894,8741,Credit Card
895,895,3081,Mobile Money
896,896,715,Mobile Money
897,897,6730,Mobile Money
898,898,3750,Mobile Money
899,899,641,PayPal
900,900,9004,Mobile Money
901,901,938,Credit Card
902,902,3911,Credit Card
903,903,3934,Bank Transfer
904,904,5852,Mobile Money
905,905,7281,Bank Transfer
906,906,5711,Bank Transfer
907,907,5114,Credit Card
908,908,6051,PayPal
909,909,7644,Bank Transfer
910,910,9506,Credit Card
911,911,2482,Bank Transfer
912,912,7835,PayPal
913,913,1801,PayPal
914,914,199,Mobile Money
915,915,9069,Credit Card
916,916,9745,Bank Transfer
917,917,9971,Credit Card
918,918,948,PayPal
919,919,4335,Bank Transfer
920,920,8630,Credit Card
921,921,8644,Credit Card
922,922,959,Bank Transfer
923,923,5463,Credit Card
924,924,5979,Mobile Money
925,925,4431,Bank Transfer
926,926,5821,Credit Card
927,927,8860,Bank Transfer
928,928,2683,Bank Transfer
929,929,6033,Mobile Money
930,930,9824,Credit Card
931,931,6766,Bank Transfer
932,932,251,PayPal
933,933,524,Credit Card
934,934,5449,Mobile Money
935,935,5875,Credit Card
936,936,8270,Mobile Money
937,937,7615,PayPal
938,938,9969,Bank Transfer
939,939,621,Mobile Money
940,940,8730,Bank Transfer
941,941,9225,PayPal
942,942,1054,Credit Card
943,943,5735,Credit Card
944,944,1168,PayPal
945,945,9615,Bank Transfer
946,946,1643,Mobile Money
947,947,4611,Credit Card
948,948,6521,Credit Card
949,949,3337,Credit Card
950,950,9336,PayPal
951,951,3003,Credit Card
952,952,713,Credit Card
953,953,3743,Mobile Money
954,954,9479,Bank Transfer
955,955,6626,Mobile Money
956,956,835,Mobile Money
957,957,2732,PayPal
958,958,3774,PayPal
959,959,7404,Credit Card
960,960,3232,Bank Transfer
961,961,7972,PayPal
962,962,4084,PayPal
963,963,4191,Credit Card
964,964,5010,Mobile Money
965,965,7656,PayPal
966,966,3557,PayPal
967,967,4710,Credit Card
968,968,9232,PayPal
969,969,6254,Credit Card
970,970,3884,Mobile Money
971,971,8759,Bank Transfer
972,972,2615,Mobile Money
973,973,7081,Credit Card
974,974,9044,Bank Transfer
975,975,7324,Credit Card
976,976,9083,Mobile Money
977,977,8487,Mobile Money
978,978,3162,PayPal
979,979,3165,Credit Card
980,980,1939,Mobile Money
981,981,3173,PayPal
982,982,6404,Credit Card
983,983,3027,Mobile Money
984,984,8508,PayPal
985,985,9230,PayPal
986,986,7841,Credit Card
987,987,4775,Mobile Money
988,988,5912,Credit Card
989,989,6909,Mobile Money
990,990,2930,Credit Card
991,991,6991,PayPal
992,992,8090,Mobile Money
993,993,8048,PayPal
994,994,6027,Mobile Money
995,995,5295,Mobile Money
996,996,5237,Mobile Money
997,997,9985,PayPal
998,998,8205,Mobile Money
999,999,5890,Mobile Money
1000,1000,9412,Mobile Money
1001,1001,4403,Credit Card
1002,1002,5561,Bank Transfer
1003,1003,8745,Credit Card
1004,1004,6838,PayPal
1005,1005,3804,Credit Card
1006,1006,7078,Mobile Money
1007,1007,9342,Bank Transfer
1008,1008,8641,PayPal
1009,1009,5154,Bank Transfer
1010,1010,211,Credit Card
1011,1011,3490,Bank Transfer
1012,1012,1003,Credit Card
1013,1013,4077,Credit Card
1014,1014,9613,Credit Card
1015,1015,8135,PayPal
1016,1016,1824,PayPal
1017,1017,3740,Credit Card
1018,1018,2520,PayPal
1019,1019,1272,Mobile Money
1020,1020,2625,Mobile Money
1021,1021,8623,Credit Card
1022,1022,7501,Bank Transfer
1023,1023,3994,Bank Transfer
1024,1024,7402,Mobile Money
1025,1025,6230,Credit Card
1026,1026,5007,Bank Transfer
1027,1027,4616,Mobile Money
1028,1028,7043,Bank Transfer
1029,1029,6062,Mobile Money
1030,1030,7348,Credit Card
1031,1031,5354,PayPal
1032,1032,6624,Bank Transfer
1033,1033,312,PayPal
1034,1034,9996,Credit Card
1035,1035,4779,PayPal
1036,1036,2131,Mobile Money
